video_id,comments
as15UdT7y9Q,"['A emme é muito gente boa, além de linda', 'morri de rir com esse flow extra kkk GIAZÃO LENDA KKKKKKKKKKKKKKK', 'Os episódios Extra Flow são muito legais! Igor, Gianzão e Emme White fizeram um papo legal e bem divertido! Vida longa ao Flow!', 'Emme indo no ct do ironberg?! Olhaaaa 1:21:20 essa apertada na emme é vontade de sentir mais ela kk', 'いつも見てます😁😁\n応援しています🔥🔥', 'ish ta desmonetizado p krl', 'NÃO ABRA', 'Gian tá falando hein kkk, espero que nunca tenha um co-host fixo, pq o Monarkão é insubstituível, mas se for pra ter um, que seja o Gian, já que ele tbm fez parte da crianção do Flow. E trás a Emme mais vezes tbm como co-host', 'Por que raios o Jean não fica fixo como cohost? O cara é melhor que o Monark kkkkk', 'Deveria ter um Extra Flow todo mês.']"
KISC7ZMITgs,"[""Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n00:00 - Preparação\r\n5:18 - Início \r\n8:30 - Final da Libertadores \r\n11:33 - Convidado fala sobre seu estudo revolucionário de neurociência \r\n30:26 - É possível aprender como Matrix? \r\n42:52 - Experimento que o Brasil não viu \r\n1:29:20 - A incrível escola do Nordeste \r\n1:58:36 - Metaverso \r\n2:37:54 - O Futuro no tratamento de doenças psiquiátricas \r\n2:48:47 - A máquina ira superar os homens? \r\n2:56:30 - O poeta que colocou Albert Einstein contra parede \r\n3:10:18 - Neurofeedback funciona de verdade?\r\n\r\nInsta: instagram.com/mnicolelis/\r\n\r\nYouTube: youtube.com/channel/UC0NZXdZhBJjT1yYs4i4VkVQ\r\n\r\nTwitter: twitter.com/MiguelNicolelis\r\n\r\nINSIDER\r\n12% DE DESCONTO EM QUALQUER COMPRA NA INSIDER COM O CUPOM FLOW 👕\r\nhttps://nv99.com.br/ad/dc-insiderstore-flow-2\r\n\r\nSTANLEY'S HAIR\r\nTransplante Capilar: Acesse o Instagram da Stanley's Hair para mais informações.\r\nhttps://nv99.com.br/ad/dc-stanleys-hair-flow-1"", 'Melhor recurso do youtube: Ocultar o replay do chat', 'Espetacular!!!', 'Herói nacional!', 'É mt perceptivel q no decorrer do podcast o professor melhora a lingua portuguesa', 'Que programa maravilhoso', 'chama esses cara todo dia', '\'""é muito fascinante o conhecimento passado de forma clara e de forma tão abundante', 'Esse foi um dos melhores episódios com certeza!', 'disparado  ser vivo mais FODA do brasil.']"
a-ym9Ao_-dM,"[""Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n08:00 - Início \r\n14:47 - As gafes de João Kléber em Portugal \r\n23:16 - O início da Carreira de João Kléber \r\n41:10 - João Kléber faz duras críticas a TV atual \r\n58:53 - João Kléber revela segredo do Teste de Fidelidade \r\n01:20:10 - O teste de fidelidade vai voltar? \r\n01:26:27 - Teste de fidelidade na Netflix? \r\n01:36:34 - João Kléber no Big Brother? \r\n01:41:32 - A Previsão de Márcia Fernandes (Sensitiva) sobre João Kléber \r\n02:37:44 - João Kléber conta os arrependimentos do passado\r\n\r\nInsta: instagram.com/joaoklebersoueu/\r\n\r\nTwitter: twitter.com/JoaoKlebereall\r\n\r\nYouTube: youtube.com/c/redetv\r\n\r\nHidromel Philip Mead: uma bebida diferente de tudo o que você já conhece. Aproveite o frete grátis para sul e sudeste. Utilize o cupom FLOW10 para ganhar 10%OFF!\r\nhttps://nv99.com.br/ad/dc-philipmead-flow-6\r\n\r\nSTANLEY'S HAIR\r\nTransplante Capilar: Acesse o Instagram da Stanley's Hair para mais informações.\r\nhttps://nv99.com.br/ad/dc-stanleys-hair-flow-1"", 'João kleber entende muito de tv Boa Entrevista', 'Save rapaziada, top dms', 'O melhor podcast do mundo!! JK é muito bom bicho! O cara é um ícone da Tv brasileira', 'quanto conhecimento, Kleber! obrigado!', 'Tem que juntar o Carlos Alberto de Nóbrega e o João Kleber, os 2 trabalharam juntos, devem ter umas histórias boa', 'Quero ser chato não mas a qualidade do Flow melhorou pacas depois da saida do Monark.', 'Absorvi muito com essa entrevista , ri muito , aprendi com cada história cada momento foda , viva o humor de verdade parabéns ao programa e ao nosso apresentador João Kleber', 'Gênio. Simples assim. Além de tudo ainda revelou o REI Marquinho, a lenda das pegadinhas', 'Eu tinha uma certa impressão errada do João por algo q o Rafinha falou em algum ilha, vtnc Rafinha o cara é massa po']"
Ah-9PJ3jcoA,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n4:21 INÍCIO\r\n9:35 Carlos Alberto DESABAFA sobre a PRAÇA É NOSSA\r\n24:00 Carlos Alberto RELATA como foi SAIR dos TRAPALHÕES e ir pro SBT\r\n36:22 O dia que CARLOS ALBERTO foi no P*TEIRO\r\n42:57 Eu ERA GAGO por INSEGURANÇA (Carlos Alberto de Nóbrega)\r\n52:12 Igor IMITA RISADA do Carlos Alberto -- Carlos Alberto COMENTA como era o ENSAIO com GOLIAS\r\n1:15:42 O primeiro carro do Silvio Santos \r\n1:21:15 João Dólar na Praça é Nossa\n1:32:32 Ronald Golias - A PRAÇA é NOSSA \r\n1:39:37 Carlos Alberto e a Globo \r\n1:45:06 Carlos Alberto conta história emocionante sobre o Filho\r\n\r\nInsta: instagram.com/calbertonobrega/\r\n\r\nSTAART\r\nDescubra as 12 profissões mais disputadas do futuro e o passo a passo para garantir espaço no mercado de trabalho 4.0\r\nhttps://nv99.com.br/ad/dc-staart-flow-1', 'Muito foda!!!\nValeww Flow & Carlos Alberto!!\nVcs são  d+!', 'Cris é muito forçada!', 'A Criss Paiva é a Cohost perfeita para este Flow.\nHumorista, inteligente e conhece como poucos o espírito Flow.\nCasamento perfeito!', 'Ninguém sentiu falta das perguntas aleatórias do Monark?', 'Igor e Criss. Ótimo Flow.\nCompartilhado com sucesso no Facebook', 'falar palavrão , nada impede , mas seria mais legal sem falar. e manter o nível .\nfalar palavrão , em campo de futebol ou em casa. ai é justificável.', 'Maravilhoso', '""A pior solidão, é a solidão de Hotel"". Calzabé! :(.', 'Que episódio gostoso de assistir!']"
Mg_7vNsnoQQ,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n0:34 INÍCIO\r\n4:10 Nós AINDA NÃO somos HUMANOS\r\n8:23 Indústrias FARMACÊUTICA e ALIMENTÍCIA são CRIMINOSAS\r\n12:36 EDUARDO MARINHO sobre MARXISTAS\r\n\r\nInsta: instagram.com/eduardomarinho.viacelestina/\r\n\r\nYouTube: youtube.com/c/ObservareAbsorverEduardoMarinho\r\n\r\nHIDROMEL\r\nFaltam poucos dias para o dia das mães! Compre agora mesmo um presente da Philip Mead com desconto especial. Não deixe para última hora, filho da mãe!\r\nhttps://nv99.com.br/ad/dc-philipmead-flow-7', '""empresarismo X humanismo"" sem o Empresarismo me diz como sustentar o estado? Responde aí Eduardo e Ferrez! Ou será o Estado produz Receita?!', 'Reflexão essa é a palavra', 'carai, o maluco é brabo', '""Tem 8 pessoas  numa casa vivendo numa casa com r$600,00 reais"" Ferrez fala pra esse povo trabalhar', 'Falam mau de banqueiros e defendem o Lula, parece que eles não sabem que no governo Lula os bancos tiveram seus maiores lucros e que o Lula é candidato dos banqueiros.', 'lula é pobre..... \nFidel não executou ninguém, apenas foram julgamentos....\nBolivia é o paraíso......\nOs venezuelanos amam Hugo Chavez.....\nMds, é cada uma pior do que a outra\nedt: mas também não gosto desta sociedade consumista, fútil e efémera.', 'Não é preciso ser de esquerda para que o pensamento de esquerda esteja em vc, é só você escutar alguém falando o que pensa de política,de sistema financeiro que que nós vemos que isso está estigmatizado na maioria dos brasileiros.', 'Esse cara é um hipócrita com alguns lampejos de lucidez. Pena que engana tanta gente.', '2:10 Ferrez declara q ""Bolsonaro irá mandar matar qualquer pessoa q tiver opinião contraria e q o mesmo vai mandar fechar o STF"" daí pra frente não sei mais oq deu pq desliguei. Fala sério!']"
634Ml29qdII,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n4:27 INÍCIO\r\n10:53 TUDO que VOCÊ PRECISA SABER antes de DOUTOR ESTRANHO 2\r\n16:31 DC VS MARVEL\r\n33:36 Não EXISTE MARVEL sem o HOMEM DE FERRO\r\n38:46 Johnny Depp x Amber Heard\r\n57:34 Deep Fake nos CINEMAS\r\n1:14:21 O FUTURO do HOMEM-ARANHA nos Cinemas\r\n1:22:12 O dia que a MARVEL quase FALIU\r\n1:30:15 Crossover entre DC e MARVEL\r\n1:37:20 A verdadeira HISTÓRIA do BATMAN\r\n1:47:22 Existe Lógia em Super Herói? \r\n1:56:08 Episódio pertubador Black Mirror \r\n2:03:52 Viagem no Tempo \r\n2:09:36 Cinema com os dias contados \r\n2:17:50 Game of Thrones \r\n3:03:50 Quadrinhos x Live Action \r\n3:21:48 O Batman de Robert Pattinson \r\n3:03:43 Batman não tem poderes?\r\n\r\nInsta: instagram.com/gustavocunha5150/\r\n\r\nYouTube: youtube.com/c/GustavoCunhavideos\r\n\r\nHIDROMEL\r\nFaltam poucos dias para o dia das mães! Compre agora mesmo um presente da Philip Mead com desconto especial. Não deixe para última hora, filho da mãe!\r\nhttps://nv99.com.br/ad/dc-philipmead-flow-7', 'Eu tenho 47 anos. Mas vcs viajão mesmo. Show...', 'As melhores 4 horas que eu já vi no YouTube.', 'Peter tem 55 anos', 'Tata é o melhor do youtube', 'Mal sabiam eles, mal sabiam eles que o filme deixou muito a desejar', 'Gustavo Cunha é  espetacular.', 'Que conversa maneira 👏👏👏', '34:57 eu só assisti o 2 amava esse filme quando criança não irei assistir de novo não quero estragar minha memória mesma coisa com lanterna verde', 'Sem dúvidas o melhor podcast da história!']"
at6dO7DeubQ,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n4:40 INÍCIO\r\n10:55 CH3IREI pra saber SE ERA MESMO (Sargento Fahur)\r\n31:07 Câmeras nos POLICIAIS do Brasil\r\n41:11 Sargento Fahur no UBER indo pro FLOW\r\n46:10 O DIA que SARGENTO FAHUR ficou FAMOSO \r\n1:01:44 Sargento Fahur OPINA sobre LEGALIZAÇÃO da M*CONHA\r\n1:16:27 Se VOCÊ estiver SEGURANDO a DROGA é CRIME\r\n1:33:00 Não tenho DÓ de BANDIDO -- Não tem como RESSOCIALIZAR esses VAGABUNDOS\r\n2:01:15 Fahur critíca política brasileira \r\n2:16:54 Como é ser policial no Brasil \r\n2:31:40 Da Cunha ainda é delegado? \r\n2:45:46 Sargento Fahur Deputado Federal \r\n2:50:18 Fahur defende pena de morte \r\n3:03:26 Bolsonaro e o Orçamento Secreto \r\n3:11:28 Piso salarial nacional para polícia \r\n3:26:02 Espectador coloca Fahur contra parede \r\n3:41:07 O caso bizarro do maior fumante do mundo\r\n\r\nInsta: instagram.com/sargentofahur_/\r\n\r\nYouTube: youtube.com/c/SargentoFahur1\r\n\r\nTwitter: twitter.com/SargentoFAHUR\r\n\r\nBITFINEX\r\nVenha para a Bitfinex a exchange de cripto número 1 dos grandes investidores!\r\nhttps://estudiosflow.com/ad/dc-bitfinex-flow-1\r\n\r\nINSIDER\r\n12% DE DESCONTO EM QUALQUER COMPRA NA INSIDER COM O CUPOM FLOW 👕\r\nhttps://estudiosflow.com/ad/dc-insiderstore-flow-2', 'Fico triste pelo delegado da cunha , mais que merecido seu último trabalho como o sarg fahut', 'Grande herói brasileiro!', 'Queria ver o monark ai pra tomar uns tapa do sargento fahur kkkkkkkk', 'Mentira, a sociedade apoia a polícia sim.', 'Barabens a Voceis sou fã esses polícias  são otimos tem todo meu respeito', 'Esse fahur é um engana trouxa', 'O mais triste desse flow é q ele acaba', 'Que podcast mais top. Adorei.', 'Obrigado pelo conteúdo Igor, Da cunha e Fahur.']"
lE3YmkSCq8o,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n0:32 INÍCIO\r\n5:32 Igor e Monark JUNTOS NOVAMENTE no FLOW\r\n13:30 Suposta BRIGA entre IGOR e MONARK\r\n18:10 Igor e Gian PEDEM pro MONARK tomar CUIDADO com o que FALA no FLOW\r\n24:32 Monark DESABAFA no FLOW\r\n29:00 Monark DISCORDA do Igor\r\n37:26 Monark sobre a RUMBLE\r\n53:02 Monark PAROU de CONSUMIR?\r\n58:22 FLOW X YOUTUBE\r\n1:10:38 Elon Musk comprou o Twitter \r\n1:15:18 Igor fica puto com Monark e reclama \r\n1:21:07 A inquisição do Cancelamento \r\n1:29:37 Monark fica puto com pedidos de remoção \r\n1:53:58 Monark responde pedido de Igor e surpreende \r\n2:06:55 Gian surpreende a todos com declaração \r\n2:11:38 A saída do Monark do Flow\r\n\r\nInsta: instagram.com/monarkoficial/\r\n\r\nYouTube: youtube.com/c/monark\r\n\r\nTwitter: twitter.com/monark', '47:02 - 47:30 = PURA VDD\nChega uma hora q o sistema CANSA. \nEntão o q vale mais fazer?\nFaçamos de Deus/Jesus o SENHOR de nossas vidas para Herdamos o Reino PROMETIDO por Deus/Jesus - A Implantação do Reino de Deus!!!!\nO ÚNICO Reino q tem condições de ser PERFEITO!!!\n(Pq é/será Deus quem será o Rei/Líder que irá Governá-lo)\n47:45 - \n48:01 - Este raciocínio usado de ""Construção e Destruição"" é o q Deus/Jesus vai fazer e SÓ Ele tem Condições de fazer isto - DESTRUIR a sistema diabólico deste mundo e CONSTRUIR de forma PERFEITA com a Implantação do Reino de Deus!\n48:19 - O Reino de Deus é que SERÁ a VERDADEIRA VITÓRIA pq irá mudar/retirar este sistema atual do pecado e do diabo q tem como governante o príncipe deste mundo - satanás.\n\nFORTE ABRAÇO e TUDO de BOM com Jesus!', 'Só acho q está na hora de geral fazer um movimento pika de cancelar a tropa do canceladores,  só acho né q já passou da hora', 'alguem sabe que pod e esse que o igor esta usando?', 'continua com pensamento de bosta', 'Cara, é só falsificar os dados e manter os bots...', 'Sargento da Cunha tem mais views que o Monark.', 'só fala merda', 'MONARK É TOP ...FOI CANCELADO PQ A MÍDIA NÃO PERMITE CONCORRENCIA NA FORMAÇÃO DE OPINIÃO', 'Problema de vocês, é pq são pioneiros, dão espaço a todos e entrevistaram a familia Bolsonaro sem nenhum viés.. Todo mundo que se destaca, toma pedrada... keep the pressure....']"
n3oRi22sidI,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n8:18 INÍCIO\r\n32:29 Fiquei EM CHOQUE quando SOUBE que minha INFORMANTE se M*TOU\r\n43:24 O LIVRO que a JUSTIÇA PROIBIU (Caso Suzane von Richthofen)\r\n47:45 Elize MATSUNAGA\r\n57:14 SEDUÇÃO e MANIPULAÇÃO (Suzane von Richthofen)\r\n1:06:50 A Suzane von Richthofen É PSICOPATA?\r\n1:13:28 Por que as PESSOAS se APAIXONAM por CRIMINOSOS?\r\n1:38:30 O que REALMENTE aconteceu com o IRMÃO de Suzane von Richthofen\r\n\r\nInsta: instagram.com/ullissescampbell/\r\n\r\nYouTube: youtube.com/user/ullissescampbell/\r\n\r\nTwitter: twitter.com/ullicampbell\r\n\r\nBITFINEX\r\nVenha para a Bitfinex a exchange de cripto número 1 dos grandes investidores!\r\nhttps://estudiosflow.com/ad/dc-bitfinex-flow-1', 'Competição:. Flordelis fala mais vezes a palavra ""diabo"", ou Igor fala mais vezes a palavra ""caralho""?', 'Igão: parece um morcego fazendo o gesto italiano com os pés! Kkkkk', 'Tem de ser uma mãe como a do filme ECLIPSE TOTAL.', 'Elise não presta.  Matava bichos indefesos.  Se não tivesse feito o que fez, ainda estaria fazendo a mesma coisa.  Quiçá, ensinaria a própria filha, essa sua destreza.  Que passe o resto da vida presa.', 'Da boca suja desse Igor não sai uma frase sem palavrão.', 'Ulisses lembrou bem sobre a questão de estudos para serem evitados..Lembrei da série MindHunter', 'Ullisses Costa deve ser traumatizado com mulheres ... coitado kkkkkkkk', 'Será que eu tô carente ou eu gosto de homens intelectuais? Ulisses casa comigo. ❤️', 'Só estou aqui pelo Ulisses pois não gosto do canal ou derivados.']"
wAHzhDZRhQU,"['Salve salve família, aqui está a minutagem de cada assunto e os links dos convidados. Pra nos ajudar ainda mais, dá uma olhada no patrocinador abaixo.\r\n\r\n0:00 PREPARAÇÃO\r\n0:56 INÍCIO\r\n16:09 Meu PRIMEIRO show do SUPLA\r\n28:12 O Flow PERDEU sua ESSÊNCIA?\r\n51:12 Supla e Skylab DEBATEM sobre DAR\r\n1:04:09 Supla EXPLANA ESQUEMA de ROUBO de IPHONE\r\n1:11:11 Eles QUEREM que EU SEJA um POLÍTICO\r\n1:30:10 Skylab PERDE a PACIÊNCIA e CRITICA FLOW\r\n2:02:30 Skylab SE IRRITA com CO-HOST\r\n2:28:52 Elon Musk e o Twitter \r\n2:48:40 Fátima Bernardes \r\n2:50:59 Neymar \r\n2:53:13 Raul Seixas x Ed Motta \r\n2:59:17 Casa dos Artistas \r\n3:03:35 Skylab critica banda enorme \r\n3:22:14 Frank Zappa\r\n\r\nInsta: instagram.com/suplaoriginal/\r\n\r\nYouTube: youtube.com/c/Suplazoo\r\n\r\nTwitter: twitter.com/suplaoriginal\r\n\r\n\r\nInsta: instagram.com/rogerio.skylab/\r\n\r\nYouTube: youtube.com/user/skylabrogerio/\r\n\r\nTwitter: twitter.com/rogerioskylab\r\n\r\nBITFINEX\r\nVenha para a Bitfinex a exchange de cripto número 1 dos grandes investidores!\r\nhttps://estudiosflow.com/ad/dc-bitfinex-flow-1\r\n\r\nHIDROMEL\r\nFaltam 10 dias para o dia das mães! Compre agora mesmo um presente da Philip Mead com desconto especial. Não deixe para última hora, filho da mãe!\r\nhttps://nv99.com.br/ad/dc-philipmead-flow-7', 'Skylab data de validade vencida', 'tmj, Deixando meu comentário para ajudar o flow, Vamos em frente galera está dando certo !', 'Sou fã do Supla há cerca de 25 anos. O cara não muda. Mega agradável em qualquer local.', 'Supla fala\nSkylab: 😍\nRafael fala\nSkylab: 🤬', '""nao tem como nao pegar"" fale por vc 😎 o meu eu segurei firme, levaram só o fone q enroscou na mao do fdp', 'Resenha; \nSupla foi o CARA desse Flow.  segurou o programa com carisma, música, educação, exemplos de vida,  elegância e ótima comunicação.  Skylab fez o papel dele com suas alfinetadas, ironias sutis, sarcasmos e todas as suas  frustrações e foda-se kkkkk . Sky cria a tensão pra chocar, entreteu pra caralho kkkk, mesmo sem estar na sua ""melhor"" versão kkkk.   Já o Rafael, deve ser gente boa, bom músico,.mas intelectualizou demais o bagulho. Desnecessário.  Parecia que tava defendendo tese de pós doutorado. PORRA BICHO! gerou chatice em muitas falas.   E o Igor....o melhor dele é a risada. Devia opinar menos e deixar o pau cantar no bom sentido, é claro.   Igor não sabe perguntar. Deixou passar várias sacadas  interessantes dos caras. Ele não tem o time da deixa pra emendar uma pergunta.  Típico de quem não é do jornalismo. Mais enfim... Tá valendo,.foi muito bom 👍', 'O papo quando descambou pra política aí ficou chato demais.SUPLA já não tava aguentando mais, tentou várias vezes ( educadamente) passar pra outro assunto ; "" ha .. vamos falar de música, de putaria, ou até de cu, é mais interessante"" , enquanto o Igor insistia em alimentar a pauta com opiniões vazias. Passa impressão que nem ele sabe o que diz. Senso comum total.', 'O supla desviou muito de assunto tabu, chega a ser até engraçado pelo espirito punk que ele sempre tem kkkk', 'botequim é botequim Podcast é Podcast . Rogerio SKYLAB Genio.']"
