video_id,comments
pZIty9SxVSo,"['Fala galera, beleza? Hoje vocês vão conhecer a história do Homem que SOBREVIVEU por quase 3 DIAS no FUNDO DO MAR', 'I here', 'Os cara em nenhum momento fala q foi Deus ""Claro q aí teve a mão de Deus, só fala q foi sorte, sorte nada foi Deus !! caramba esses dois aí viu !!!', 'DEUS É DEUS DE MILAGRES❣', 'Top', 'Que doideira vey', 'Esse tem promessa 🙌', 'Daniel molo vc vai joga na lbff', '*""Milagre de Deus""*', 'Foi milagre eu acredito pra mim isso não é sorte pq se não ele não teria embarcado nesse navio', 'Ngm fala sobre o Daniel na LBFF?', 'Deus é prefeito ele voltará para nós salvar do pecado', 'Voce sabia tenho uma pergunta como conseguirão as images', 'Assistido', 'Você sabia por favor faz um vídeo de quem ganha Goku ou saitama', 'Oq o Daniel tá fazendo na LBFF ?', 'oi', 'Da até pra fazer um filme sobre esse caso', 'mano que loucura! parece cena de filme não sei a fé de vocês mais pra mim só tem uma resposta. Yeshua 🙏🏼🙌🏼❤️', 'Faz video sobre o voo 3054 acidente da TAM  que  completou 15 anos agr']"
xnkzo9IrFY4,"['Vc sabia que o Dani molo joga a lbff de fre fire', 'Mano só é só você prestar atenção no sol quando amanhece o sol está subindo quando o Sol estiver acima da sua cabeça já é meio-dia e quanto mais ele for descendo é que vai ficando tarde até ele se pôr', '🤔', 'Sim tem que buscar abrigo o quanto antes porque de noite vem os vampiros.', 'Já deixado meu like 👍🏻😃👏🙏🤠', 'Não entendi', 'Legal 😃', 'Uuaaaauuu', 'Eita so vai ser capa do Daniel 😼', 'tutanalbff', 'O fod**** é saber qual das duas pontas estaria apontando pro norte 😂😂', 'Falen sobre stranger things', 'Um jeito mais fácil de saber aonde fica o norte, abra seus braços e aponte seu braço direito pro lado que o sol nasce, sabendo que o sol nasce no leste e se põe no oeste, seu braço direito aponta para o leste, o esquerdo pro oeste, atrás de vc está o sul e a sua frente está o norte', 'Passando aqui para PRESTIGIAR o seu trabalho! 😁😊💯⭐👏🏻👏🏻👏🏻🤝🏻\nSUCESSO', 'Lula: droga, tenho apenas 45 minutus cumpanhêro', '🔴 REC.\nOutra dica para você sobreviver:\nSe você estiver em algum lugar quê não conheça, lembre de coisas, edifícios, placa, pedra, poste, árvore, qualquer coisa quê seja fácil de você lembrar vendo ao lonje caso esteje precisando muito de ajuda ou precise urgentemente da polícia.\nSe alguém suspeitei ou por algum motivo você não confie quê está no banco, casa lotérica, ônibus ou metro, perguntar as horas,\nDiga quê não pode ajudar falando que esqueceu o celular ou diga quê a hora está atrasada.', 'Último', 'Vou criar um Jutsu capaz de fazer isso kkk', 'como eu vou saber o que é norte e o que é sul ? kkkkk', 'Vcs arrasam']"
7OuLnuXYyj0,"['Nossa sonho tanto em chegar em mil escritos🥺, estou nesta luta a mais de 1ano.\nMais Eu não vou deixar você desistir dos seus sonhos', 'Sou inscrito desde 2015', 'Alguen en 2023', 'Daniel molo tá jogando fogaréu ele tá jogando free Fire', 'Eu queria ver esse vídeo das placas personalizadas mas também como um vídeo mas detalhado sobre o YOUTUBE por favor.', 'Luva de pedreiro eu vir viu', 'Oi', 'Oi', 'Oi', 'Ainda vou ganhar uma dessas. Esse canal é muito bom!', 'Dani ta na lbff what?', 'quando comecei a seguir o canal tinha uns 2 milhões e meio, tinha até uns desafios malucos que vcs faziam.', 'Kksksksksksksk vcs são fodas, eu vi uma indireta aí em.', 'Vocês disseram que somente 5 canais tem mais de 100 milhoes, porém o canal Cocomelon - Nursery Rhymes possui 140 milhoes, e o canal SET India possui 139 milhoes', 'Meu sonho é conseguir a minha de 100 mil inscritos', 'Vou fazer minha própria placa de papelão em comemoração aos 11 inscritos.', 'A placa de 100,000,000 Do você sabia?', 'Vcs merecem mais de 100 milhões', 'A pergunta é, quem vai alcançar 1 bilhão de inscritos']"
40mL3bgNFjE,"['seu lindo', 'Falen sobre stranger things', 'Messi 7 bola de ouro', 'A do hospital não convenceu muito a justificativa 😂', '""Figura demoníaca""\n\nEu vendo um cavalo:', 'Sei não se e vdd', 'Família cooper?kkkkkk Sheldon cooper', 'Poderia ter mostrado a foto original', 'Faz igual então kkkkkkk edição que é essa que nem Hollywood sabe fazer kkkkkk. O cão vendo a camuflagem dele dando certo ( stonks )', 'faz um vídeo explicando se você joga free Fire', '???', 'Daniel Molo vc jogar free fire', 'fotos loucas kkkkkkkkk 💢💢💢', 'Curti..poderia fazer um vídeo desmitificando as fotos que aparecem por ai?', 'VOCE SABIA: AGORA O DANIEL MOLO VAI SUBIR CAPA NO FRI FARE KKK VAMO TORCE PA ELE TROPA KKK', 'que medo 😨😨', 'eu acho q é fake mano', 'Fala ai molo pq vc ta na LBFF  fala ai', 'Dani no ff??', 'Família do DB cooper']"
IPQPiZq_Km8,"['Bizarro é a pessoa que fica reparando as cagadas dos pombos !', 'Esse retrato do pombo ficou um coco, literalmente', 'Mano o cara nasceu calvo 😳', 'Literalmente o pombo é cagado e cuspido. Kkkk', 'espectacular!', 'oi', 'Eu apoio o Massacre do Carandiru 😎😎😎😎👏👏', 'Do casal é sinistro kkkkkkkkkk e legal', 'Pombo tá diferente', 'PARTE 2!!!!!!!', 'Vc tá na LBFF?', 'Daniel vc está lbff kkkk', 'Coitado mn, agora todo mundo tá falando que o Daniel vai jogar ff', 'nunca achei q eu fosse assistir lbcg só pra ver o daniel molo....', 'Ta treinando do pra lbff?', 'Salve Daniel molo vou torcer por vc na lbff', 'Obra de arte amigo', 'Pombo artista', 'Eai Daniel molo vai jogar a lbff? kkkkkj', 'Voce ta na lbff']"
0Gt5j5ZTyeA,"['Ex', 'Já deixado meu like 👍🏻 ótimo', 'Aquele circulo tinha o sinbolo do god of war', 'Menino de ouro 🥰', 'NOSA😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮', 'Aí mermão o Lucas aposentou?', 'O Fede X é bom!', 'Urso jogando basquete kk', 'O simbolo de god of war na Wikipédia kkkk', 'Um dia minha madrinha comprou um chocolate desse eu achava que era o segundo chocolate mais caro do mundo', 'Minha madrinha que já comprou um chocolate desse mais eu achava', 'Ganhou a lbff?', 'Kkkkk esse chocolate aqui em Portugal e baratinho', 'Parece q voltamos a 2017', 'Ex', 'DANIEL MOLO PASSA A SENSI AI MEN', 'Se bem que Wikipédia no quesito dinossauro a wiki br tá tudo erraso', 'Vai deixando logo o seu joinha 👏👏', 'Eu vi esse cocholate do urso na montanha em monte carmelo', 'Montanha']"
8D45cyP5Lnk,"['* Ai usam armas químicas,nucleares ou biológicas  *\nExército: ""aahh irmão,ai n vale pera,ce ta roubando.""', 'Granada de fragmentação  é nova pra mim', 'Rússia 🇷🇺: fds', '""não sei como será a terceira guerra mundial, mas a quarta será a paus e pedras""', 'Na guerra Ninguém ganha todo mundo perde.', '🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'Mano, quando é guerra a glr mete o foda-se pois como diria um sábio de guerras ""É guerra, foda-se vale tudo""', 'É proibido usar mas os cara fazem um monte e deixa guardado kkkk', 'E quem vai seguir essas regras em uma guerra? Ksksksks', 'Pena que todos que faxem as guerras são loucos e não estao nem ai pra saber o que pode ou não pode. E uma pena uma humanidade morre por causa de uma cabeça de doido.', 'Pra que a terceira guerra', 'Essa foto dos soldados nas trincheiras é SINISTRA', 'Cegueira não pode mas matar tá ok', 'Já pensou kkkkk\nSaldado: para para para td mundo, poxa cara c tá roubando, não pode lança chamas \nInimigo: pow cara foi mal aí, vou guardar, pessoal reiniciar o ataque \nSoldado: agora sim, guerra nivelada', 'Guerra mas tem empatia', 'n pode cegar mais tode matar kkkk', 'Confia q vão seguir essas regras e tipo os nazistas os caras tacaram o fds', '""armas químicas""\n\nAmericanos no Vietnã: Foda-se meo, taca tempero nessa salada aki kapa kapa kapa kapa', 'Armas proibidas que continuam sendo usadas independentemente dos riscos é igual ao caso da salsicha, a gente sabe como é feito, sabe que faz muito mal e come mesmo assim kkkkkkkk.', '1°mãe da pessoa\n\n2° chilena da mãe\n\n3°cinto do pai']"
qXzKX0erW_Y,"['Acho que o unico animal abissal que achei a aparencia normal (um pouquinho plmns) foi o polvo dumbo, parece fofo kkkk', 'Assustador e imaginar que do nado me teletrasprotar só eu penso nisso?', 'Vem ×1', 'Só gente bonita...', 'Top', 'O mar já me assustava antes mas agora não vou entra   nem tão cedo no mar              (Brincadeira)', '😳😳👍👍🦈🦈🐡🐡🐠🐠🐟🐬🐋🐢🐊🐸🐉🦀', 'DANIEL MOLO NO. LBFF kkkkkkkk', 'O que acontece se botar um peixe desses fora das fossas das marianas elea morriam pela falta de pressão?', '💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕', 'Credo kkkkk', 'A rapaziada doida pra Ver o tal do Daniel na lbff kkkk, o pior que não sabia!!!', 'Oi vc sabia meu ídolo', 'imagina o que a gente não conhece', 'Eu gosto do peixe diabo negro e do polvo dumbo', '🤯🤯🤯🤯🤯🤯', '.', 'Daniel nolo pro player de free fire na lbff série A a lenda n sabia q ele jogava free fire n kkkkk', 'E o super vulcão que sua piscina de magma tem 56km de profundidade', 'Lbff Daniel?? Só na cara tem que farpar']"
R-YoM5YFib4,"['BURACO GIGANTE APARECE NO DESERTO DO ATACAMA\nUse nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines', 'Faz uns 3 anos q n vejo vídeos de vcs, sdds desse canal', 'Daniel molo jogador  de free fire kaakkak', 'E esse buraco só não é maior que o buraco da sua mãe', 'Seria muitoo massa trazer mais vídeos desses buracos gigantes...', 'Esse final de vídeo aí, se fosse alguns anos atrás kkkkkkkkk', 'Aqui no Brasil tem o da Anita 🤣🤣🤣🤣🤣', 'Faz o vídeo do buraco da china! Tenho muito interesse... Sou de Porto Seguro', 'Assistido', 'Isso foi logo depois do Peixe do ""azar"", que sinistro', 'E o famoso buraco mia Khalifa não é grande o bastante ? 😂', 'Labreia kkkkkkkkk quem pensou o mesmo kkkk', 'Gostei do vídeo e já quero o outro vídeo sobre os maiores buracos e o que tem neles👏🏾', 'Pessoas que assistiram a série La brea vendo esse vídeo 👀😏', 'Eu quero ver outro vídeo sobre esses buracos aí ein', 'fala dos buracos 😂😂✋', 'Agora vc estão falando muito de jogos e mesnos nós que gostamos', 'Quero o vídeo dos maiores buracos do mundo', 'Como que, uma empresa que não lucra 1 milhão por ano vai sortear 1 por semana. E um tapa na cara e te chamar de besta.', 'Foi a mãe do renan que sentou lá.']"
SbbLHbRBZMM,"['Júpiter é a tóxico narcisista, igual alguns seres humanos kkkkkkkkkkkkkkk', 'mais uma vez os cientistas viajando nas ideias, o ser humano acha que tem muito conhecimento, mas na verdade não tem', '💚😁⭐👏🏻👏🏻👏🏻👏🏻💯', 'Tardigrados: 😎', 'Realmente\nA Europa deve ser coisa de outro planeta', 'Já imaginou morar em Europa e Júpiter puxar ela aí vai ter que rezar uma oração forte kkk', '👍🏻', 'Caraca', 'Daniel capudo molo?', 'A acamada aí eu gosto', 'Kkk sempre e assim vida fora da terra vai ver e bactéria', 'Fonte: meu ovo', 'Subnautica apenas', 'O bagulho é mete bomba no gelo. 10km msm, radiação n é problema. Em 500 anos já da pra tira uma boa parte da radiação.', 'Pau e água', 'Daniel moulo vai jogar LBFF MESMO', 'Dessa vez nós que vamos explorar a Europa', '🤔', 'Que saudade do tempo em que Júpiter tinha 16 luas em 1990, meu Deus, tô ficando velho e até Júpiter tem mais patrimônio que eu kkkkk', 'Talvez a radiação só seja fatal para nós humanos']"
