video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration
as15UdT7y9Q,Flow Podcast,Extra Flow #02 - PROSA GUIADA,"Extra Flow especial com a Emme White.
@Prosa Guiada 

~~~~~~~

✉️: comercial@goldenpill.com.br

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-05-14T01:13:38Z,143202,9193,80,PT2H32M1S
KISC7ZMITgs,Flow Podcast,MIGUEL NICOLELIS [+ ÁLVARO MACHADO DIAS E SACANI] - Flow #48 🤝 @Ciência Sem Fim,"Miguel Nicolelis é medico e cientista, e Álvaro Machado Dias é neurocientista e professor, ou seja, é um episódio pra você se sentir bem burro.

[o Álvaro veio como convidado, mas acabou virando cohost kkkkkkk]

~~~~~~~

INSIDER
12% DE DESCONTO EM QUALQUER COMPRA NA INSIDER COM O CUPOM FLOW 👕
https://nv99.com.br/ad/dc-insiderstore-flow-2

STANLEY'S HAIR
Transplante Capilar: Acesse o Instagram da Stanley's Hair para mais informações.
https://nv99.com.br/ad/dc-stanleys-hair-flow-1

~~~~~~~

✉️: comercial@goldenpill.com.br

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

00:00  Preparação
5:18 Início 
8:30 Final da Libertadores 
11:33 Convidado fala sobre seu estudo revolucionário de neurociência 
30:26 É possível aprender como Matrix? 
42:52 Experimento que o Brasil não viu 
1:29:20 A incrível escola do Nordeste 
1:58:36 Metaverso 
2:37:54 O Futuro no tratamento de doenças psiquiátricas 
2:48:47 A máquina ira superar os homens? 
2:56:30 O poeta que colocou Albert Einstein contra parede 
3:10:18 Neurofeedback funciona de verdade?","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-05-13T02:33:42Z,259174,21173,935,PT3H34M4S
a-ym9Ao_-dM,Flow Podcast,JOÃO KLÉBER [+ CRISS PAIVA] - Flow #47,"[O DIGUINHO CORUJA NÃO PODE VIR HOJE PQ TÁ CORONADO. F.]

João Kléber apresenta uns programas maneiros na RedeTV.

~~~~~~~

Hidromel Philip Mead: uma bebida diferente de tudo o que você já conhece. Aproveite o frete grátis para sul e sudeste. Utilize o cupom FLOW10 para ganhar 10%OFF!
https://nv99.com.br/ad/dc-philipmead-flow-6 

STANLEY'S HAIR
Transplante Capilar: Acesse o Instagram da Stanley's Hair para mais informações.
https://nv99.com.br/ad/dc-stanleys-hair-flow-1

~~~~~~~

✉️: comercial@goldenpill.com.br

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

08:00 Início 
14:47 As gafes de João Kléber em Portugal 
23:16 O início da Carreira de João Kléber 
41:10 João Kléber faz duras críticas a TV atual 
58:53 João Kléber revela segredo do Teste de Fidelidade 
01:20:10 O teste de fidelidade vai voltar? 
01:26:27 Teste de fidelidade na Netflix? 
01:36:34 João Kléber no Big Brother? 
01:41:32 A Previsão de Márcia Fernandes (Sensitiva) sobre João Kléber 
02:37:44 - João Kléber conta os arrependimentos do passado","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-05-10T02:23:23Z,261273,17244,351,PT3H12M6S
Ah-9PJ3jcoA,Flow Podcast,CARLOS ALBERTO DE NÓBREGA [+ CRISS PAIVA] - Flow #46,"Cazalbé é o lendário humorista anfitrião do programa A Praça é Nossa.

RIR É O MELHOR REMÉDIO [podcast do cazalbé]
https://www.youtube.com/channel/UCDHlPIRWgBbwVL-2VveU9Yg

~~~~~~~

STAART
Descubra as 12 profissões mais disputadas do futuro e o passo a passo para garantir espaço no mercado de trabalho 4.0
https://nv99.com.br/ad/dc-staart-flow-1 


~~~~~~~

✉️: comercial@goldenpill.com.br

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-05-06T21:51:34Z,420764,31667,490,PT1H45M36S
Mg_7vNsnoQQ,Flow Podcast,EDUARDO MARINHO [+ FERREZ] - Flow #45 🤝 @Avesso Podcast,"Esse episódio é uma collab entre Flow e Avesso Podcast.

Eduardo Marinho é artista plástico, escritor, ativista social e filósofo brasileiro. Os seus trabalhos têm ênfase na contestação dos valores da sociedade, por isso passou a ser conhecido por filósofo ou ""pensador das ruas"".

~~~~~~~

INSIDER
12% DE DESCONTO EM QUALQUER COMPRA NA INSIDER COM O CUPOM FLOW 👕
https://nv99.com.br/ad/dc-insiderstore-flow-2

~~~~~~~

✉️: comercial@goldenpill.com.br

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-05-06T03:19:55Z,670449,45785,4787,PT4H20M10S
634Ml29qdII,Flow Podcast,GUSTAVO CUNHA [+ PETER JORDAN] - Flow #44,"Gustavo Cunha é youtuber [criador de conteúdo*] e produz conteúdo voltado para o segmento de gameplays e cultura geek em geral, como filmes, quadrinhos, séries, entre outros.

~~~~~~~

HIDROMEL
Faltam poucos dias para o dia das mães! Compre agora mesmo um presente da Philip Mead com desconto especial. Não deixe para última hora, filho da mãe!
https://nv99.com.br/ad/dc-philipmead-flow-7 

~~~~~~~

✉️: comercial@goldenpill.com.br

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

0:00 PREPARAÇÃO
4:27 INÍCIO
10:53 TUDO que VOCÊ PRECISA SABER antes de DOUTOR ESTRANHO 2
16:31 DC VS MARVEL
33:36 Não EXISTE MARVEL sem o HOMEM DE FERRO
38:46 Johnny Depp x Amber Heard
57:34 Deep Fake nos CINEMAS
1:14:21 O FUTURO do HOMEM-ARANHA nos Cinemas
1:22:12 O dia que a MARVEL quase FALIU
1:30:15 Crossover entre DC e MARVEL
1:37:20 A verdadeira HISTÓRIA do BATMAN
1:47:22 Existe Lógia em Super Herói? 
1:56:08 Episódio pertubador Black Mirror 
2:03:52 Viagem no Tempo 
2:09:36 Cinema com os dias contados 
2:17:50 Game of Thrones 
3:03:50 Quadrinhos x Live Action 
3:21:48 O Batman de Robert Pattinson 
3:03:43 Batman não tem poderes?","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-05-04T03:21:18Z,814501,71732,2195,PT4H30S
at6dO7DeubQ,Flow Podcast,SARGENTO FAHUR [+ DA CUNHA] - Flow #43,"Sargento Fahur é deputado federal e policial militar reformado.

~~~~~~~

BITFINEX
Venha para a Bitfinex a exchange de cripto número 1 dos grandes investidores!
https://estudiosflow.com/ad/dc-bitfinex-flow-1 

INSIDER
12% DE DESCONTO EM QUALQUER COMPRA NA INSIDER COM O CUPOM FLOW 👕
https://estudiosflow.com/ad/dc-insiderstore-flow-2

~~~~~~~

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

0:00 PREPARAÇÃO
4:40 INÍCIO
10:55 CH3IREI pra saber SE ERA MESMO (Sargento Fahur)
31:07 Câmeras nos POLICIAIS do Brasil
41:11 Sargento Fahur no UBER indo pro FLOW
46:10 O DIA que SARGENTO FAHUR ficou FAMOSO 
1:01:44 Sargento Fahur OPINA sobre LEGALIZAÇÃO da M*CONHA
1:16:27 Se VOCÊ estiver SEGURANDO a DROGA é CRIME
1:33:00 Não tenho DÓ de BANDIDO -- Não tem como RESSOCIALIZAR esses VAGABUNDOS
2:01:15 Fahur critíca política brasileira 
2:16:54 Como é ser policial no Brasil 
2:31:40 Da Cunha ainda é delegado? 
2:45:46 Sargento Fahur Deputado Federal 
2:50:18 Fahur defende pena de morte 
3:03:26 Bolsonaro e o Orçamento Secreto 
3:11:28 Piso salarial nacional para polícia 
3:26:02 Espectador coloca Fahur contra parede 
3:41:07 O caso bizarro do maior fumante do mundo","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-04-30T03:01:17Z,1848222,115417,4747,PT3H57M55S
lE3YmkSCq8o,Flow Podcast,MONARK - Flow #42,"Monark.

~~~~~~~

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

0:00 PREPARAÇÃO
0:32 INÍCIO
5:32 Igor e Monark JUNTOS NOVAMENTE no FLOW
13:30 Suposta BRIGA entre IGOR e MONARK
18:10 Igor e Gian PEDEM pro MONARK tomar CUIDADO com o que FALA no FLOW
24:32 Monark DESABAFA no FLOW
29:00 Monark DISCORDA do Igor
37:26 Monark sobre a RUMBLE
53:02 Monark PAROU de CONSUMIR?
58:22 FLOW X YOUTUBE
1:10:38 Elon Musk comprou o Twitter 
1:15:18 Igor fica puto com Monark e reclama 
1:21:07 A inquisição do Cancelamento 
1:29:37 Monark fica puto com pedidos de remoção 
1:53:58 Monark responde pedido de Igor e surpreende 
2:06:55 Gian surpreende a todos com declaração 
2:11:38 A saída do Monark do Flow","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-04-29T21:45:08Z,1541656,153722,4768,PT2H19M15S
n3oRi22sidI,Flow Podcast,ULLISSES CAMPBELL [+ VITOR METAFORANDO] - Flow #41,"CANAL DO ESTÚDIOS FLOW:
https://www.youtube.com/channel/UCmw6h7iv_A_nHA1nlnhkAAA

Ullisses Campbell é jornalista e autor de livros de mulheres que ripam.

~~~~~~~

BITFINEX
Venha para a Bitfinex a exchange de cripto número 1 dos grandes investidores!
https://estudiosflow.com/ad/dc-bitfinex-flow-1 

~~~~~~~

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

0:00 PREPARAÇÃO
8:18 INÍCIO
32:29 Fiquei EM CHOQUE quando SOUBE que minha INFORMANTE se M*TOU
43:24 O LIVRO que a JUSTIÇA PROIBIU (Caso Suzane von Richthofen)
47:45 Elize MATSUNAGA
57:14 SEDUÇÃO e MANIPULAÇÃO (Suzane von Richthofen)
1:06:50 A Suzane von Richthofen É PSICOPATA?
1:13:28 Por que as PESSOAS se APAIXONAM por CRIMINOSOS?
1:38:30 O que REALMENTE aconteceu com o IRMÃO de Suzane von Richthofen
1:34:58 Os 50 filhos de Flordelis 
1:52:55 Convidado conta caso chocante da igreja da Flordelis 
1:58:31 A história perturbadora da casa da Flordelis 
2:12:51 A prisão no interior do Piauí 
2:39:18 O teste que manteve Suzane Von Richthofen presa 
2:44:59 Psicopata nasce psicopata ou se torna? 
2:59:22 O Caso Charles Manson 
3:06:23 O caso dos canibais de Garanhuns - PE","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-04-29T02:28:06Z,867627,41199,1728,PT3H23M45S
wAHzhDZRhQU,Flow Podcast,SUPLA E SKYLAB [+ RAFAEL BITTENCOURT] - Flow #40 🤝 @Canal Amplifica,"CANAL DO ESTÚDIOS FLOW:
https://www.youtube.com/channel/UCmw6h7iv_A_nHA1nlnhkAAA

Um crossover brabo.

AMPLIFICA:
https://youtu.be/2BWwcAbDhhU

~~~~~~~

BITFINEX
Venha para a Bitfinex a exchange de cripto número 1 dos grandes investidores!
https://estudiosflow.com/ad/dc-bitfinex-flow-1 

HIDROMEL
Faltam 10 dias para o dia das mães! Compre agora mesmo um presente da Philip Mead com desconto especial. Não deixe para última hora, filho da mãe!
https://nv99.com.br/ad/dc-philipmead-flow-7 

~~~~~~~

ANFITRIÃO: 
Igor 3K - Twitter @igor_3k
              - Instagram @igor.3k

DIREÇÃO:
Gianzão - Instagram @_gianzao
                - Twitter @_gianzao

✂️ CORTES DO FLOW
https://www.youtube.com/cortesdoflow
💩 FLOW POOP
https://www.youtube.com/c/FlowPoopOFICIAL

0:00 PREPARAÇÃO
0:56 INÍCIO
16:09 Meu PRIMEIRO show do SUPLA
28:12 O Flow PERDEU sua ESSÊNCIA?
51:12 Supla e Skylab DEBATEM sobre DAR
1:04:09 Supla EXPLANA ESQUEMA de ROUBO de IPHONE
1:11:11 Eles QUEREM que EU SEJA um POLÍTICO
1:30:10 Skylab PERDE a PACIÊNCIA e CRITICA FLOW
2:02:30 Skylab SE IRRITA com CO-HOST
2:28:52 Elon Musk e o Twitter 
2:48:40 Fátima Bernardes 
2:50:59 Neymar 
2:53:13 Raul Seixas x Ed Motta 
2:59:17 Casa dos Artistas 
3:03:35 Skylab critica banda enorme 
3:22:14 Frank Zappa","['flowpodcast777', 'FLOW', 'FLOW PODCAST', 'PODCAST', 'MONARK', 'IGOR', '3K', 'IGOR3K', 'GIANZÃO', 'GIANLUCAJUX', 'flow', 'Flow', 'Melhor Podcast', 'ouvir podcast', 'podcast brasileiro', 'maior podcast do brasil', 'pioneiro', 'pioneiros']",2022-04-28T02:26:02Z,473740,31378,1893,PT3H41M57S
