video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration
F_dUx77uwuc,Você Sabia?,7 INSETOS COM SUPER PODERES REAIS !!,"Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines

00:00 - INSETOS COM SUPER PODERES REAIS
00:59 - Bracon - Resistente a Radiação
01:41 - Blaze - Inseto SUPER PODEROSO
02:44 - O inseto mais forte do mundo
03:42 - Besouro da Folha
04:43 - Besouro-Bombardeiro
06:03 - Mosquito Chironomidae","['INSETOS COM SUPER PODERES REAIS', 'BRACON', 'BESOURO-BOMBARDEIRO', 'jato liquido toxico', 'Voce Sabia', 'BESOUROS DA FOLHA', 'vagalume', 'super poderes', 'insetos super poderes', 'voce', 'sabia', 'inseto mais forte do mundo']",2022-05-30T21:30:01Z,50354,15417,456,PT8M14S
jqkjIu7h24w,Você Sabia?,A MÚSICA MAIS MISTERIOSA DA INTERNET !!,"Aproveite a promoção exclusiva da NordVPN aqui:  https://nordvpn.com/vocesabia
Experimente sem riscos graças à garantia de devolução do dinheiro!

00:00 - A MÚSICA MAIS MISTERIOSA DA INTERNET
00:43 - A história da Música MISTERIOSA
02:59 - A Música misteriosa FOI POSTADA INTERNET !!
04:08 - Escute AGORA A MÚSICA
06:04 - Qual é o nome? Quem canta?
07:33 - Like the Wind","['A MÚSICA MAIS MISTERIOSA DA INTERNET', 'musica misteriosa', 'like the wind', 'The Most Mysterious', 'Song on the Internet', 'misterios da internet', 'voce', 'sabia', 'curiosidades']",2022-05-29T21:00:21Z,488901,64686,1455,PT12M14S
-aey-PpxRmc,Você Sabia?,O QUE SÃO ESSAS COISAS QUE VEMOS VOANDO NOS OLHOS??,"Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines

00:00 - Você já enxergou manchas flutuando?
01:55 - Momento Blaze
03:04 - Moscas Volantes
03:57 - O QUE SÃO ESSAS COISAS QUE VEMOS NOS OLHOS??
05:55 - Isso é PERIGOSO??
07:09 - Historias do Lukas e do Dani
08:05 - FIQUEM ATENTOS!","['O QUE SÃO ESSAS COISAS', 'moscas volantes', 'coisas branquinhas voando', 'voce', 'sabia', 'curiosidades', 'visao', 'olho humano', 'coisas estranhas', 'flutuando no olho']",2022-05-26T22:00:19Z,1075542,136159,3187,PT9M47S
Q0q2vSIOSGQ,Você Sabia?,"A VERDADE SOMBRIA DE ""PROCURANDO NEMO""","Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines

00:00 - A Teoria do Procurando Nemo 
01:05 - Momento Blaze 
02:17 - O início do filme Nemo
04:00 - Peixes-palhaço são hermafroditas
05:28 - A verdade por trás do filme
06:19 - O nemo NÃO existe!","['procurando nemo', 'teoria procurando nemo', 'teoria nemo', 'a verdade', 'segredos sombrios', 'A verdade por trás do filme', 'peixe palhaco hermafrodita', 'nemo nao existe', 'pixar', 'disney', 'voce sabia', 'voce', 'sabia']",2022-05-25T22:00:10Z,775581,91835,1083,PT9M34S
9Astne5Uxsk,Você Sabia?,O que aconteceu com O HOMEM QUE BEBEU RADIAÇÃO ??,"Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines

00:00 - O HOMEM QUE BEBEU RADIAÇÃO 
00:49 - Momento Blaze
02:18 - O Remedio RADIOATIVO
03:20 - Produtos RADIOATIVOS
04:04 - A história de Eben Byers
06:05 - O que aconteceu com Eben Byers??","['O que aconteceu COM O HOMEM QUE BEBEU RADIAÇÃO', 'remedio radioativo', 'suco radioativo', 'eben byers', 'brinquedo radioativo', 'voce', 'sabia', 'curiosidades', 'historias', 'voce sabia', 'homem']",2022-05-24T23:30:00Z,1323633,145190,1881,PT8M4S
_eL98SeTMNQ,Você Sabia?,VOCÊ PRECISA ASSISTIR ESSE VÍDEO ANTES DE VER TOP GUN: MAVERICK,Link oficial para compra de ingressos - https://movieid.ingresso.com/topgunmaverick?utm_source=voce_sabia&utm_medium=pacote&utm_content=movigoers&utm_campaign=topgun2_paramount_artplan&utm_term=video_dedicado,"['top gun', 'top gun maverick', 'tom cruise', 'voce', 'sabia', 'tudo sobre', 'curiosidades', 'VOCÊ PRECISA ASSISTIR ESSE VÍDEO ANTES DE VER top gun', 'top gun 2', 'curiosidades sobre o top gun', 'voce sabia filmes']",2022-05-19T21:10:42Z,412104,49351,919,PT10M48S
0az_1fIIR-g,Você Sabia?,NASA divulga pela PRIMEIRA VEZ o som de um BURACO NEGRO!!,"Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines

NASA divulga pela PRIMEIRA VEZ o som de um BURACO NEGRO - SONS QUE FORAM CAPTURADOS DO ESPAÇO

00:00 - Sons que foram capturados do espaço
01:05 - Som de um Buraco Negro
02:32 - Som do planeta Júpiter
03:37 - Som da BLAZE
05:31- Som das Estrelas
06:32 - Som da Lua Miranda","['nasa', 'som buraco negro', 'SONS QUE FORAM CAPTURADOS DO ESPAÇO', 'jupiter', 'saturno', 'estrelas', 'as maiores', 'voce', 'sabia']",2022-05-12T20:03:45Z,1599467,182088,3569,PT8M59S
t69tEBTQ9C4,Você Sabia?,THE BACKROOMS - O MISTÉRIO QUE ESTÁ ATORMENTANDO A INTERNET,"Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines

A VERDADE sobre THE BACKROOMS - O labirinto do TERROR

00:00 - THE BACKROOMS
01:03 - O Labirinto do Terror
03:17 - O ANDAR MISTERIOSO
05:07 - THE BACKROOMS, o VÍDEO
07:18 - A verdade sobre THE BACKROOMS","['THE BACKROOMS', 'O labirinto do TERROR', 'misterio internet', 'A VERDADE sobre', 'voce', 'sabia', 'curiosidades', 'o que e', 'entenda o caso', 'a outra realidade', 'creepypasta']",2022-05-11T18:30:50Z,1587974,154629,2768,PT11M19S
2rXBWx0DqZ4,Você Sabia?,VOCÊ NEM IMAGINA o que encontraram NO FUNDO DESTE RIO !!,"Use nosso código ""VOCE"" para entrar na Blaze e receba até R$1000 de bonus e 10 rodadas grátis em Crash/Double/Mines


QUANDO DRENARAM ESTE CANAL FOI ENCONTRADO ALGO EXTRAORDINÁRIO - Coisas Estranhas encontradas DEBAIXO DA ÁGUA","['QUANDO DRENARAM ESTE CANAL FOI ENCONTRADO ALGO EXTRAORDINÁRIO', 'canal de paris', 'SAN MART', 'fundo do mar', 'objetos estranhos', 'de baixo da agua', 'voce', 'sabia', 'curiosidades', 'videos', 'foi encontrado', 'blaze']",2022-05-10T14:00:02Z,967818,105739,1741,PT11M43S
K8Pk8WHBq3E,Você Sabia?,"UNIVERSUS – NFT, CRYPTO E BLOCKCHAIN: Como funciona tudo isso?","UNIVERSUS – NFT, CRYPTO E BLOCKCHAIN: Como funciona tudo isso?

Participe do giveaway e siga as redes do Universus: 
https://linktr.ee/universus","['voce', 'sabia', 'voce sabia', 'universus', 'nft', 'crypto', 'criptomoedas', 'blockchain', 'bitcoin', 'wallet', 'como funciona']",2022-05-06T21:47:33Z,404785,50222,979,PT13M37S
